Ben, 5 0 0 0 0 0 0 1 0 1 -3 5 0 0 0 5 5 0 0 0 0 5 0 0 0 0 0 0 0 0 1 3 0 1 0 -5 0 0 5 5 0 5 5 5 0 5 5 0 0 0 5 5 5 5 -5 
Moose, 5 5 0 0 0 0 3 0 0 1 0 5 3 0 5 0 3 3 5 0 0 0 0 0 5 0 0 0 0 0 3 5 0 0 0 0 0 5 -3 0 0 0 5 0 0 0 0 0 0 5 5 0 3 0 0 
Reuven, 5 -5 0 0 0 0 -3 -5 0 1 -5 5 0 1 0 1 -3 1 -5 0 0 0 0 0 0 3 0 0 0 0 -5 1 0 1 0 -5 0 3 -3 3 0 1 5 1 0 0 0 0 0 1 3 1 5 1 3 
Cust1, 3 3 5 0 0 0 3 0 0 3 0 3 0 0 0 0 0 3 0 5 0 0 0 1 3 1 0 0 0 0 0 3 0 3 0 0 0 1 3 0 0 3 3 0 0 0 5 0 0 3 1 0 0 0 0 
Cust2, 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 3 1 0 0 0 3 0 0 0 3 0 3 3 5 0 3 0 3 
Francois, 3 3 5 0 0 0 3 0 0 3 0 3 0 0 0 0 0 3 0 5 0 0 0 1 3 1 0 0 0 0 0 3 0 3 0 0 0 1 3 0 0 3 3 0 0 0 5 0 0 3 1 0 0 0 0 
Jim C, 5 3 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 0 0 
Iren, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 5 0 0 0 1 0 0 0 1 0 0 5 0 0 0 5 3 5 0 0 0 0 5 3 0 3 0 -5 
Cust3, 0 0 0 -3 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 5 5 0 0 0 0 0 0 0 0 0 1 1 0 -3 5 3 0 0 1 0 0 0 1 0 0 0 0 
Cust4, 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 -5 0 0 -5 5 0 0 0 0 0 0 0 -3 0 0 0 -3 
Cust5, 0 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 5 3 0 0 0 0 0 5 0 3 0 3 5 3 0 0 0 3 0 5 5 0 0 5 0 
Cust6, 1 1 3 3 -3 3 3 5 5 5 5 1 3 1 1 0 5 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 3 0 3 5 5 5 0 -3 0 0 0 0 0 0 3 1 1 
Cust7, 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -3 0 0 5 5 0 0 5 0 0 3 0 0 0 5 0 0 0 0 0 0 0 0 0 5 0 5 
Cust8, 3 0 0 5 0 0 0 5 0 5 3 0 0 0 0 0 3 0 5 5 0 0 0 0 0 0 0 0 5 0 5 5 3 0 0 5 0 0 5 5 5 3 5 5 0 0 5 0 0 5 5 0 5 0 5 
Cust9, 5 0 0 0 0 0 3 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 0 0 0 0 3 
andrew, 3 3 1 0 3 0 3 0 0 -3 0 5 3 0 1 0 0 5 3 0 0 0 0 1 0 3 0 1 0 0 3 5 3 3 0 0 0 5 0 5 0 3 3 0 -3 0 0 5 1 5 3 0 3 0 0 
ma, 0 0 0 0 5 0 0 0 0 3 0 0 0 0 0 0 0 0 -3 0 0 0 0 -3 0 0 0 0 0 0 0 3 0 3 0 0 0 -3 0 0 0 0 3 0 0 0 0 0 0 -3 -3 0 0 0 0 
matt c, 0 3 0 0 0 0 0 0 0 5 0 5 0 0 -3 5 0 0 1 0 0 3 0 0 3 0 0 0 0 0 1 3 3 0 0 0 0 0 5 0 0 0 5 3 0 3 0 0 0 5 5 3 0 0 0 
Ocelot, 5 1 0 0 0 0 0 0 0 0 0 5 0 0 3 0 0 5 3 0 0 0 0 3 0 1 1 0 0 0 3 3 0 5 0 -3 0 3 0 0 0 5 3 0 0 0 0 0 0 0 3 0 1 0 0 
Cust10, 5 0 0 0 1 0 0 0 0 -5 0 5 0 0 0 0 0 3 -3 3 0 0 0 5 0 5 0 0 0 0 3 3 0 5 0 0 0 5 0 0 0 0 3 0 0 0 0 5 0 0 0 0 0 0 0 
crom, 0 0 3 0 0 0 0 0 0 -3 0 0 0 0 5 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 
joe, 3 0 0 0 0 0 0 0 0 3 0 5 0 0 5 0 1 1 3 0 1 0 3 0 0 0 0 3 3 0 5 3 1 3 0 1 0 3 1 0 0 5 3 0 5 0 1 0 0 1 5 0 0 0 0 
Priscilla, 5 0 0 0 0 0 5 0 0 0 0 3 3 0 1 0 0 0 0 0 0 0 3 5 0 0 0 0 0 0 0 1 0 3 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 -3 1 0 1 0 -3 
Harry Potter, 0 0 0 0 0 0 0 0 0 -5 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 3 0 0 0 0 5 0 0 0 0 0 0 3 0 0 0 0 0 
I. Ned, 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 -3 0 0 0 0 0 0 1 1 0 0 0 -3 0 0 3 1 0 3 1 0 0 0 0 0 3 0 0 0 0 0 -3 
ender, 5 0 0 0 0 0 5 0 0 3 0 5 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 0 5 0 3 
Apollo, 0 0 5 0 0 0 0 3 0 0 1 0 0 0 -5 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 3 -5 0 0 0 0 0 3 0 0 0 0 3 3 0 0 0 0 3 0 -3 0 0 0 1 
Zax, 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 5 0 0 0 5 0 0 0 3 0 0 5 5 0 0 0 1 
Jaluka, 0 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 5 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 
Sanity, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 5 0 0 5 0 3 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 
Brix, 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 -3 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 
sage32, 0 0 0 0 0 0 0 -3 0 3 1 0 0 0 0 0 0 0 3 5 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 -5 0 0 0 1 0 0 5 3 3 0 0 0 1 0 0 0 0 0 5 
clipper, 5 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 -3 0 0 0 0 0 0 0 0 0 0 0 1 5 0 3 0 0 0 0 0 0 0 5 5 0 0 0 0 0 3 5 5 0 0 0 0 
YJAM, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 3 0 0 0 0 3 0 0 0 0 0 5 5 0 5 0 0 
Martin, 1 -3 0 0 0 0 0 0 0 0 0 3 3 0 -3 0 0 0 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -3 0 0 0 5 0 0 0 0 0 1 3 5 0 -3 0 0 
Mike, 5 0 0 0 0 0 5 0 0 1 0 5 3 0 0 0 0 3 0 0 0 0 0 3 0 5 0 0 0 0 5 5 5 3 0 0 0 3 0 0 0 5 3 0 0 0 0 5 0 5 3 0 0 0 0 
